0,7,0
1,0,7
2,6,1
3,1,6
4,5,2
5,2,5
6,4,3
7,3,4
8,3,4
9,4,3
10,2,5
11,5,2
12,1,6
13,6,1
14,7,0
15,0,7
16,6,1
17,1,6
18,5,2
19,2,5
20,4,3
21,3,4
22,3,4
23,4,3
24,2,5
25,5,2
26,1,6
27,6,1
28,7,0
29,0,7
30,6,1
31,1,6
32,5,2
33,2,5
34,4,3
35,3,4
36,3,4
37,4,3
38,2,5
39,5,2
40,1,6
41,6,1
42,7,0
43,0,7
44,6,1
45,1,6
46,5,2
47,2,5
48,4,3
49,3,4
50,3,4
51,4,3
52,2,5
53,5,2
54,1,6
55,6,1
56,7,0
57,0,7
58,6,1
59,1,6
60,5,2
61,2,5
62,4,3
63,3,4
64,3,4
65,4,3
66,2,5
67,5,2
68,1,6
69,6,1
70,7,0
71,0,7
72,6,1
73,1,6
74,5,2
75,2,5
76,4,3
77,3,4
78,3,4
79,4,3
80,2,5
81,5,2
82,1,6
83,6,1
84,7,0
85,0,7
86,6,1
87,1,6
88,5,2
89,2,5
90,4,3
91,3,4
92,3,4
93,4,3
94,2,5
95,5,2
96,1,6
97,6,1
98,7,0
99,0,7
100,6,1
101,1,6
102,5,2
103,2,5
104,4,3
105,3,4
106,3,4
107,4,3
108,2,5
109,5,2
110,1,6
111,6,1
112,7,0
113,0,7
114,6,1
115,1,6
116,5,2
117,2,5
118,4,3
119,3,4
120,3,4
121,4,3
122,2,5
123,5,2
124,1,6
125,6,1
126,7,0
127,0,7
128,6,1
129,1,6
130,5,2
131,2,5
132,4,3
133,3,4
134,3,4
135,4,3
136,2,5
137,5,2
138,1,6
139,6,1
140,7,0
141,0,7
142,6,1
143,1,6
144,5,2
145,2,5
146,4,3
147,3,4
148,3,4
149,4,3
150,2,5
151,5,2
152,1,6
153,6,1
154,7,0
155,0,7
156,6,1
157,1,6
158,5,2
159,2,5
160,4,3
161,3,4
162,3,4
163,4,3
164,2,5
165,5,2
166,1,6
167,6,1
168,7,0
169,0,7
170,6,1
171,1,6
172,5,2
173,2,5
174,4,3
175,3,4
176,3,4
177,4,3
178,2,5
179,5,2
180,1,6
181,6,1
182,7,0
183,0,7
184,6,1
185,1,6
186,5,2
187,2,5
188,4,3
189,3,4
190,3,4
191,4,3
192,2,5
193,5,2
194,1,6
195,6,1
196,7,0
197,0,7
198,6,1
199,1,6
